GINI impurity Criterion
Decision Tree Classifier - normalized data
         F1  Strat F1
0  0.195397  0.184303
1  0.212994  0.224354
2  0.193211  0.170330
3  0.251185  0.249800
4  0.212000  0.243012
5  0.181729  0.168999
6  0.225198  0.207916
7  0.225502  0.235702
8  0.365874  0.348485
9  0.285714  0.303585
      w_AUC  Strat w_auc
0  0.773348     0.750088
1  0.693776     0.688433
2  0.740431     0.695476
3  0.696530     0.692815
4  0.743157     0.753593
5  0.720147     0.690503
6  0.723814     0.690914
7  0.709674     0.725858
8  0.760986     0.766432
9  0.731688     0.732518

Decision Tree Classifier - denormalized data
      F1  Strat F1
0  0.446328  0.440725
1  0.490372  0.511025
2  0.430534  0.443452
3  0.458809  0.449938
4  0.429568  0.455801
5  0.441860  0.444444
6  0.467986  0.500000
7  0.451861  0.440806
8  0.462705  0.473885
9  0.463694  0.451128
      w_AUC  Strat w_auc
0  0.728665     0.728337
1  0.767196     0.776376
2  0.715236     0.727527
3  0.745707     0.746423
4  0.707046     0.722512
5  0.718910     0.721777
6  0.733820     0.747911
7  0.722862     0.720966
8  0.724410     0.728546
9  0.728978     0.725826

Decision Tree Classifier - denormalized data - balanced class
    F1  Strat F1
0  0.413174  0.412281
1  0.471780  0.456897
2  0.389241  0.390476
3  0.462411  0.455696
4  0.421499  0.417489
5  0.404160  0.404834
6  0.461347  0.460000
7  0.425824  0.426230
8  0.437917  0.428380
9  0.432065  0.445964
      w_AUC  Strat w_auc
0  0.699453     0.703471
1  0.728919     0.722811
2  0.687027     0.687099
3  0.722761     0.721097
4  0.700264     0.698762
5  0.695064     0.692415
6  0.715998     0.714827
7  0.696399     0.697602
8  0.701139     0.695990
9  0.699980     0.705517

IG criterion
Decision Tree Classifier - denormalized data
         F1  Strat F1
0  0.448468  0.451064
1  0.532787  0.510067
2  0.431138  0.442424
3  0.482759  0.488064
4  0.456189  0.451613
5  0.436416  0.448179
6  0.484262  0.491400
7  0.444145  0.453189
8  0.468401  0.463659
9  0.494792  0.488372
      w_AUC  Strat w_auc
0  0.732901     0.730308
1  0.774834     0.766953
2  0.719604     0.723122
3  0.748428     0.751317
4  0.721265     0.717196
5  0.717240     0.730159
6  0.733784     0.734224
7  0.709340     0.712257
8  0.731658     0.726765
9  0.740308     0.738750

Decision Tree Classifier - denormalized data - balanced class
      F1  Strat F1
0  0.423803  0.416787
1  0.506849  0.519444
2  0.423756  0.414977
3  0.469444  0.455307
4  0.425287  0.434659
5  0.455090  0.447407
6  0.468244  0.476904
7  0.436997  0.446837
8  0.442455  0.458599
9  0.478947  0.478203
      w_AUC  Strat w_auc
0  0.710956     0.707816
1  0.760091     0.763419
2  0.701876     0.702836
3  0.730883     0.722360
4  0.699236     0.706091
5  0.719638     0.717859
6  0.719694     0.723501
7  0.706533     0.710689
8  0.711683     0.720712
9  0.729892     0.728663



